-4460,-6840,12512
-11808,-6372,11204
-10484,-6764,10244
-10508,-5564,10932
-7896,-6300,13372
-8936,-9932,13128
-7696,-9200,15160
-10572,-10116,12780
-10432,-8856,10984
-13304,-7136,9524
-16120,-6668,7896
-7400,-7256,8688
-11068,-3944,10140
-9912,-624,16644
-5064,-520,15308
-7256,692,18596
-8172,-14648,11380
-9056,6612,23420
-4732,604,21928
-6340,3080,18000
-5232,7856,22908
-3340,8860,21476
-3724,7532,19124
-1728,7360,16416
-4048,7732,14140
-1676,7172,12924
-2772,7744,11340
-4196,6976,10396
-6184,6584,9108
-4820,7504,8712
-4708,7912,7604
-7796,7788,5316
-6872,6536,3424
-5896,5724,3176
-6108,6012,2576
-6888,3452,980
-7588,2188,-540
-5652,1112,-356
-3524,-700,-716
-3820,-2740,-792
-6056,-4104,52
-5252,-5628,-1128
-5552,-7668,-1724
-2052,-7668,-672
-6200,-7496,1420
-6648,-8144,4540
-5696,-12216,9344
-5652,-13048,14056
-6532,-15740,15820
-6808,-19256,16168
-7784,-17216,19496
-9928,-13732,20740
-10256,-14488,19756
-10172,-11824,14608
-11544,-13648,15752
-11492,-5484,19604
-7076,-8500,17992
-13592,-3860,24680
-8552,3692,23980
-11828,7160,20936
-10948,7772,17172
-8044,9012,14732
-6392,6204,12352
-7312,15640,14340
-10116,11724,11760
-5040,5500,12228
-2760,468,13676
-5516,-3004,11324
-8952,-6768,9568
-6672,-3352,11112
-8612,-2060,11152
-10724,-1320,15092
-6424,-988,13424
