-8372,-2156,13636
-11352,-2364,13096
-12996,432,12896
-14892,-1392,14404
-19996,1088,9412
-1568,-1764,12172
-12972,5532,14172
-11664,7768,15652
-6396,3528,18172
-6892,-152,19828
-8688,2152,22800
-7828,5920,26552
-7904,6912,26624
-5732,6884,26560
-4188,5408,25724
-2508,6300,23088
-60,8440,21092
-208,7052,16652
1488,7192,11748
1812,8120,7836
904,8448,2576
-336,8940,-256
-332,10452,-1444
-1304,11460,-2992
-1660,11704,-4392
-744,10984,-4964
768,8540,-3472
-812,1216,-2228
-1452,-6984,-2388
-5140,-13700,-892
-7220,-15256,-168
-10152,-13816,2420
-10624,-13668,4772
-10068,-16232,7040
-9332,-15644,6644
-9300,-11956,8536
-8972,-10608,11532
-10348,-12548,8644
-11252,-11708,16632
-13264,-5220,25524
-14236,-1676,30872
-14484,-2060,31908
-10752,-5136,26032
-8628,-2716,22428
-6232,5748,20204
-3844,8868,18344
-1268,11732,15168
-496,13724,12164
1456,11784,10436
2864,11460,11384
2548,7456,10688
2804,4500,12544
2908,7164,15096
3100,7004,17648
1524,3636,16520
-3656,6440,13700
-10648,5660,14164
-11308,-2920,16732
-15616,-10156,13888
-17400,-11044,11100
-13376,-6840,11772
-16332,-4472,9660
-14224,200,13312
-11112,2548,17188
-11496,1708,14288
-9320,1116,14140
-7040,740,13176
-9008,2244,12520
-7948,2492,13360
-6900,132,12676
-8272,-1632,9856
-13660,2696,7980
-7088,-732,13644
