-11360,-6292,10192
-10828,-5680,10664
-6820,-5792,12340
-8716,-5892,12460
-11268,-6748,12880
-9940,-8028,12268
-5616,-5512,15552
-9996,-268,17452
-14540,1340,16488
-5764,-2144,19684
-6532,-2532,16456
-5816,1628,21364
-4944,4968,23108
-6608,8656,24568
-6120,5800,21844
-3316,2796,22988
-3160,4344,22524
-3936,6364,21952
144,6112,20280
412,6140,17108
-540,6964,13788
-1496,6884,10532
-2896,7556,7840
-3044,11432,6472
-6832,14404,5488
-5764,16492,2476
-6392,15204,-412
-5936,12540,-3056
-5496,9080,-3424
-5340,6444,-4940
-6148,3040,-5552
-6412,1832,-4036
-6280,-400,-4984
-6072,-4104,-5420
-3776,-7000,-4876
-3152,-9832,-3176
-6620,-3016,3692
-5656,-6564,3872
-1440,-12776,-1280
-2312,-13344,2692
-1244,-13468,5256
-3280,-11144,6584
-4980,-11008,7096
-2512,-13316,8932
-1408,-15740,11984
-1716,-16008,11488
-5328,-11900,19032
-4324,-15360,20736
-5724,-15144,20988
-8304,-7972,27808
-7480,-13052,20584
-4888,-16908,15392
-7912,-8876,20044
-10152,-7416,16328
-7424,-6940,16796
-9692,-712,19332
-9064,124,20756
-8608,-2160,16640
-6772,-208,18616
-9168,-916,19108
-5240,-212,19740
-7764,4172,20148
-4064,-2548,11792
-5468,-3368,13024
1248,-8804,12024
-4300,-2520,12288
-7500,-2744,8112
-8300,-1120,7724
-12480,-1200,5916
