-9296,-2720,9900
-8600,-2512,8712
-11176,-1476,7524
-13444,-5204,11944
-11544,-2828,13212
-6240,2276,20072
-8692,5724,21712
-8844,4516,20736
-8156,3676,20796
-9336,7168,20556
-6596,5724,22444
-7376,6004,20792
-5692,8292,23040
-5472,6896,21388
-4696,6992,21104
-1780,6748,20340
-2208,8216,16276
-2516,10344,12996
-652,10124,9544
-1076,8896,5588
-1536,8680,3772
-1260,9600,2620
-3240,10676,2344
-2332,9720,1148
-4564,7528,452
-3704,5964,96
-4512,3980,280
-5748,3348,836
-5576,-768,2472
-4320,-5088,2640
-4524,-7372,2892
-5468,-7348,4784
-6624,-6392,6456
-7860,-5460,11024
-9008,-6852,11616
-11440,-11792,10280
-12228,-12872,7052
-11556,-8220,13280
-12768,-8064,14952
-11276,-6504,17016
-11536,-5276,18928
-8532,-6200,18044
-8556,-4200,20240
-7780,3020,22944
-7804,6140,21240
-5764,6728,19112
-5940,11108,17000
-4880,16312,16796
-3316,19196,16180
-2676,18264,13252
-1752,14316,12008
-560,10600,12132
52,8312,11488
-1092,7988,10532
1256,7128,12072
2272,7820,11580
-2628,10060,11456
-2908,8208,14008
-4952,3584,15180
-11196,332,13572
-11016,-2240,14076
-10544,-2744,16004
-10016,-3404,17400
-9160,-4172,15428
-11128,-2112,12956
-9812,1068,14044
-9688,1440,13536
-9052,388,14192
-7112,600,14716
-7096,900,13804
-6584,3940,17888
-7820,3388,20552
-5236,-2436,11372
-5772,-972,13700
-5296,2556,17428
-5164,1208,14612
-5392,960,14932
-5588,948,15340
-6776,1240,15492
-6312,676,14996
-9552,776,12964
-8532,2464,12620
-7292,2468,11680
-9556,4236,10648
-6540,2064,15920
