-23372,-264,-2720
-13480,-1668,-6532
7552,1424,-3792
-21032,9128,-4324
-8336,2772,-592
5316,380,4372
-828,328,-176
-1756,3080,-904
-1080,2444,5528
4264,2152,4156
2908,4096,4424
-500,2128,8188
-6148,3564,8696
-10836,9028,15112
-9144,10156,23396
-17084,9836,21340
-18096,11220,26032
-23020,3340,24528
-18132,5900,23768
-22188,8564,23436
-10376,1600,15084
-10152,1152,12952
-10288,3624,14092
-10288,2340,11232
-9776,5720,14416
-8692,7088,16704
-7832,4440,15612
-7436,6160,14988
-5492,9224,15340
-4524,11884,13340
-6944,15172,12892
-5372,14396,11908
-5836,15096,12924
-8728,10040,10472
-6016,3904,8768
-7588,-2672,10252
-3912,-10464,11564
-6016,-10952,16408
-9104,-9076,16484
-9144,-6088,15860
-9880,-2728,14744
-9408,-1708,12912
-10456,1448,11708
-9760,1980,11232
-8892,1976,11536
-9216,2136,11712
-7736,1328,12248
-7532,848,12252
-7116,1312,12548
-6380,1808,14268
-8284,1720,13064
-6440,2224,14276
-5072,1128,16056
-9472,1512,11360
-11788,1932,10032
-11608,-68,10024
