-5484,-8044,6932
-10436,-4260,6936
-22212,4436,-8720
-14724,5272,-1844
-9084,3640,-1572
-7944,4124,-2320
-8256,2404,512
-1936,524,-484
1840,220,-1436
1024,164,-1976
56,1868,-1236
5000,2864,5068
2384,1368,8160
-20,2116,11056
-6540,2072,17752
-8812,4448,20788
-16700,9908,26744
-15680,6376,29756
-19108,13428,28708
-22328,13316,25788
-13544,564,20792
-19860,10364,15460
-15908,9476,14128
-9112,420,10548
-9572,4668,12340
-11940,7164,12400
-10832,8924,13444
-9468,8500,15236
-9916,5956,13280
-7492,5876,12016
-6420,7940,11548
-4724,10332,11464
-4720,13120,11412
-9068,16088,9596
-7540,17092,6700
-8228,15396,6540
-6048,11220,8972
-6156,8700,12980
-10936,3420,13036
-5476,-4588,15320
-6468,-5940,19632
-9000,-6228,17008
-11172,-5684,15652
-9164,-5168,13852
-8636,-156,12340
-10352,380,11604
-8692,3540,11868
-9564,5244,11140
-9400,2488,8984
-7264,3916,10820
-8516,4792,10928
-8236,2528,10364
-6468,3892,13132
-9496,4172,11816
-9756,3800,12344
-8912,3712,14356
-12024,3036,14932
-10888,3320,19028
-1576,4896,18300
