-7948,-3132,16116
-8968,-2948,15100
-10528,-2528,14572
-8324,-1740,12692
-7920,-1460,12144
-8784,744,13480
-8724,4036,12504
-10308,8288,14508
-9328,14552,12792
-12648,13924,13816
-6268,13084,15688
-3688,13632,17840
-1488,12608,17820
-1856,13488,17992
-1816,12956,16412
-648,11592,14304
-572,9120,13184
-520,8564,11668
-840,10668,10708
-1444,12416,10452
-2060,13256,10880
-1444,13248,9076
-3128,13824,8344
-1524,14472,9088
-1212,14316,9200
-2344,13276,7956
-3468,13548,7388
-3772,13644,8112
-3232,11220,8124
-3404,9880,7184
-5044,9380,6168
-3540,7468,4928
-3072,4640,3140
-5580,-3288,2888
-756,-9028,-2072
-1056,-11580,-3008
-5900,-9164,1216
-4928,-7068,500
-5324,-6812,3032
-8364,-9412,2076
-5192,-10664,2708
-5592,-6164,7220
-9100,-2908,10864
-7228,-1248,12872
-8364,-2464,16228
-9148,-3052,18876
-8436,-3576,21328
-9104,-668,26184
-10564,1472,25988
-10524,1520,21960
-9676,2528,21080
-9516,1708,19564
-8720,3124,18836
-7560,6776,18752
-7336,8652,17976
-5092,9044,16504
-4456,7012,14592
-4776,7584,13672
-3936,8796,15320
-4956,7124,15564
-5392,4352,15588
-6148,3200,14728
-6640,2668,13068
-6180,2480,12484
-7220,1780,15692
-6044,2864,12016
