-15520,-964,4632
-15756,2296,3548
-7936,-1748,4068
-11220,-1244,4032
-12888,2908,-6140
-5396,3656,2644
-16872,3696,-5564
-10480,1240,-2576
-5752,2192,2960
-1712,728,5220
-5024,2408,3000
-4116,5268,2276
-4684,5384,3072
-8,1132,5220
1324,-2288,6012
-4416,-2492,3832
-1712,-4144,11560
-5460,7036,21936
-20176,11596,21568
-15964,2772,21392
-19020,6612,24116
-22572,2864,25616
-17052,-6532,23616
-15280,-1964,26096
-14548,-2252,20096
-12148,-5312,14952
-10696,-1368,16096
-10696,352,14796
-9020,-1472,13224
-8424,-524,12312
-7152,-60,12640
-7108,472,12480
-6340,2792,13740
-3484,2316,15136
-6468,4312,12284
-5720,7464,13040
-6396,8040,14288
-6820,6904,14312
-5984,6036,13640
-9640,5164,12168
-5088,2272,15000
-7524,-1384,17780
-8968,-5836,13820
-7748,-5940,13532
-6352,-8244,16924
-7696,-10320,15344
-10648,-6580,11448
-7428,-4452,13528
-5800,-2628,13596
-9224,-1740,11848
-7360,-1740,11784
-7844,1204,12432
-8236,2720,14316
-7812,2360,14664
-7292,616,13064
-7372,-64,13352
-6648,492,14992
-4728,1124,17364
-8532,-1424,14740
-7248,-132,14808
-7836,5724,6864
