-4644,-4788,15380
-5132,-4456,13180
1136,-6356,13000
-968,1012,17888
-796,3256,18436
-2176,3764,18500
-4832,7100,17620
-5372,8824,17104
-3280,6668,16400
-6444,4508,13912
-4428,4052,13944
-3416,3344,14468
-4504,1080,14540
-4772,1332,15188
-4452,1812,16792
-5932,636,16196
-7352,1200,15696
-8412,2040,16132
-8368,672,18076
-10680,3344,17380
-9556,4844,19808
-8916,4404,17308
-7132,3432,16880
-5192,-96,14288
-4904,-1844,10876
-3380,-2652,11236
-2076,-4164,11084
-3348,-5232,10224
-2968,-5436,11048
-1920,-4220,13032
-4560,-2948,13556
-6676,-804,14844
-6380,2376,18592
-8716,5088,22240
-8688,6480,23652
-5764,8444,25556
-4496,9232,23964
-3576,7884,21940
-2100,7088,21576
-1904,6392,20272
-1188,10072,20704
-1424,12512,20356
-1228,10816,16624
-1512,8832,14724
-1348,10068,13720
-3556,11560,11852
-3984,13516,9468
-4052,13916,8692
-3356,12380,7992
-4828,12036,6408
-4472,11084,3396
-4244,8488,1380
-4248,6568,-248
-3860,5712,-1988
-3552,4136,-3416
-6040,972,-5564
-4188,-2360,-5248
-4032,-3116,-5104
-4708,-3768,-1172
-4608,-3940,-196
-4672,-3904,2700
-3156,-5596,5808
-7608,-6188,10468
-8480,-7540,13724
-5556,-12332,14444
-15892,-21052,8284
-17000,-12876,18820
-17824,-6108,24720
-17220,-4952,25744
-16120,-7880,21044
-13596,-8372,17716
-11924,-5968,15280
-11388,-4824,12304
-10856,-3760,10876
-10200,-3656,9368
-8824,-3712,7228
