-7132,-1236,5360
-12876,1220,-128
-12724,1220,-2920
-3348,2304,-244
324,4764,-2620
-7496,4476,-2844
-292,1832,112
3084,1064,3620
2636,-2016,5124
-2980,-908,5000
1468,468,11596
-2692,6956,18544
-5928,4396,21608
-10468,7044,22548
-9916,4480,24660
-13160,-488,22548
-13492,156,22044
-12452,-652,21672
-9832,-2188,18284
-15920,5904,23440
-14428,3524,16668
-9424,160,19444
-11416,3808,18552
-8712,4556,15340
-6204,5228,13088
-3120,-644,12332
-5832,4988,12312
-2696,9924,17220
-760,10792,21188
-4268,11448,16696
-3436,11964,13356
-2936,12496,14828
-3760,12536,14016
-6624,8872,11396
-1976,-480,11720
-6460,-4352,11020
-5352,-8052,15840
-5112,-8680,21144
-7380,-8516,19516
-8064,-6192,16292
-6700,-2348,14116
-6408,960,13288
-6600,4324,13696
-3780,3840,13404
-5168,2176,12212
-5296,3332,13160
-4668,4904,14816
-4544,3820,14632
-3680,1752,14900
-3320,2244,16380
-5028,3924,15520
-6756,2660,14468
-952,4592,17080
-2976,4044,13252
-9080,5164,9940
