-11764,-4664,7452
-10952,-5032,7240
-10092,-4136,11660
-5276,-5948,12080
-12404,-1828,15560
-11084,888,14764
-9576,1352,17856
-7296,2500,19904
-6880,984,19748
-2728,1620,19792
-8096,4788,25852
-3908,6592,21596
-3548,2508,20036
-3764,1104,19340
-3512,3408,20816
-3124,6440,22888
-1936,7104,22288
-2024,5416,15872
-2468,10140,17924
-1120,7596,13404
460,8104,10448
-1180,7532,5916
-1740,4892,3404
-2740,6236,2236
-4544,7500,1428
-3116,6380,2524
-4416,3900,2404
-4748,2360,2128
-5956,448,1844
-5880,-1864,592
-7012,-3952,-12
-7064,-5768,1292
-8164,-5096,3516
-10508,-5228,6664
-8728,-9548,8128
-10772,-11596,8084
-11908,-14164,10428
-10548,-16476,13384
-12156,-13168,17100
-12836,-10288,19852
-11668,-11496,21352
-11492,-6308,22124
-10924,1492,23184
-8564,1012,17664
-5832,5268,17904
-4596,9852,16228
-2924,10528,14740
-2644,12728,12660
-2088,12916,10304
-2280,13544,9504
-2220,13296,8864
-1056,8896,10092
-1040,7492,10772
-1792,8532,12532
-5168,8368,12056
-4476,6936,12828
-3752,6632,14500
-7448,7324,13752
-7156,6576,14148
-6964,3328,13720
-9396,2584,12696
-8944,1988,14432
-10184,-1268,15624
-9928,-2208,16612
-11580,-1476,17156
-10836,-624,17248
-10032,-304,16888
-11788,3092,19168
-9716,400,13592
-8188,2380,12024
-7768,3924,11728
-8868,5572,13872
-6876,6452,16220
-6920,4648,16556
-7884,3944,13548
-14048,6848,9164
