-1188,-688,15536,-2720,-394,3902
-1156,-640,15640,-2704,-524,270
-1528,-552,15608,-2720,-510,-174
-1204,-532,15764,-2704,-463,25
-1464,-632,15640,-2720,-479,-58
-1636,-616,15596,-2704,-450,377
-1368,-604,15604,-2720,-507,-322
-1136,-592,15540,-2704,-493,149
-1196,-636,15636,-2720,-473,12
-1244,-604,15776,-2704,-466,11
-1424,-604,15552,-2688,-473,276
-1284,-616,15660,-2704,-496,-279
-1348,-520,15660,-2688,-497,-101
-1392,-580,15760,-2704,-458,112
-1172,-676,15616,-2720,-502,141
-1388,-544,15588,-2688,-464,-296
-1080,-656,15524,-2672,-477,-119
-1252,-608,15608,-2688,-481,-139
-1672,-536,15456,-2704,-313,-2090
-788,-556,15812,-2720,-463,117
-992,-592,15780,-2704,-518,105
-528,-640,15576,-2688,-548,685
-1004,-572,15568,-2672,-500,758
-1020,-524,15712,-2704,-443,-7
-1296,-540,15636,-2688,-506,-98
-992,-580,15768,-2720,-493,-74
-1004,-536,15708,-2688,-467,-104
-1144,-564,15784,-2672,-495,79
-1060,-656,15796,-2688,-484,-72
-968,-596,15568,-2736,-471,44
-940,-596,15664,-2672,-461,89
-868,-692,15592,-2704,-518,-158
-1100,-372,15716,-2688,-481,-124
-768,-696,15452,-2672,-445,1
-936,-636,15844,-2704,-505,-182
-1120,-684,15644,-2720,-493,19
-956,-592,15648,-2704,-489,14
-936,-608,15644,-2704,-445,-86
-976,-516,15636,-2688,-500,-69
-1024,-532,15716,-2704,-474,-23
-932,-632,15760,-2704,-465,-39
-1028,-588,15824,-2688,-478,-12
-1016,-640,15700,-2704,-492,-57
-1040,-532,15700,-2704,-505,-17
-944,-724,15664,-2736,-484,-125
-996,-600,15660,-2720,-466,39
-960,-664,15676,-2720,-466,23
-908,-556,15768,-2688,-471,1
-868,-668,15556,-2656,-474,53
-876,-516,15820,-2704,-475,86
-1028,-604,15652,-2704,-487,3
-988,-568,15612,-2688,-499,-66
-1044,-600,15744,-2688,-479,-22
-968,-564,15788,-2704,-484,-27
-1032,-600,15664,-2672,-491,44
